BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201706,14,1625,201706,14,1625,115476,693428,KENTUCKY,21,2017,0001-06-01,Flash Flood,C,119,KNOTT,JKL,14-JUN-17 16:25:00,EST-5,14-JUN-17 16:25:00,0,0,0,0,0.00K,0.00K,Broadcast Media,,,Heavy Rain,,,,,,,,,0,N,PIPPA PASSES,0,E,PIPPA PASSES,37.33,-82.88,37.3301,-82.8795,"Numerous thunderstorms developed this morning and afternoon across eastern Kentucky. One of these produced high winds in Wolfe County, while two instances of flash flooding occurred in Magoffin and Knott Counties.",Broadcast media relayed a report and pictures of water flowing over a rural road near Pippa Passes.,CSV
201703,1,905,201703,1,905,112769,673610,KENTUCKY,21,2017,0001-03-01,Thunderstorm Wind,C,175,MORGAN,JKL,01-MAR-17 09:05:00,EST-5,01-MAR-17 09:05:00,0,0,0,0,,,911 Call Center,60.00,EG,,,,,,,,,,1,S,WEST LIBERTY,1,S,WEST LIBERTY,37.91,-83.27,37.91,-83.27,"The first severe weather outbreak of 2017 struck eastern Kentucky during the early morning hours of March 1st. A line of severe thunderstorms raced across the area between roughly 730 am and 1045 am on Wednesday, March 1st, 2017. A number of these storms packed very strong winds that downed trees and power lines and damaged or destroyed numerous buildings and other structures across the area.",Trees were blown down.,CSV
201703,1,920,201703,1,920,112769,673624,KENTUCKY,21,2017,0001-03-01,Thunderstorm Wind,C,25,BREATHITT,JKL,01-MAR-17 09:20:00,EST-5,01-MAR-17 09:20:00,0,0,0,0,,,NWS Employee,50.00,EG,,,,,,,,,,2,NE,GUAGE,2,NE,GUAGE,37.62,-83.17,37.62,-83.17,"The first severe weather outbreak of 2017 struck eastern Kentucky during the early morning hours of March 1st. A line of severe thunderstorms raced across the area between roughly 730 am and 1045 am on Wednesday, March 1st, 2017. A number of these storms packed very strong winds that downed trees and power lines and damaged or destroyed numerous buildings and other structures across the area.",Two trees and numerous large limbs were blown down.,CSV
201703,1,926,201703,1,926,112769,673627,KENTUCKY,21,2017,0001-03-01,Hail,C,153,MAGOFFIN,JKL,01-MAR-17 09:26:00,EST-5,01-MAR-17 09:26:00,0,0,0,0,,,Trained Spotter,0.75,,,,,,,,,,,0,N,TIP TOP,0,N,TIP TOP,37.63,-83.07,37.63,-83.07,"The first severe weather outbreak of 2017 struck eastern Kentucky during the early morning hours of March 1st. A line of severe thunderstorms raced across the area between roughly 730 am and 1045 am on Wednesday, March 1st, 2017. A number of these storms packed very strong winds that downed trees and power lines and damaged or destroyed numerous buildings and other structures across the area.",Penny size hail was observed in the Tiptop and Carver areas.,CSV
201703,1,1001,201703,1,1001,112769,673637,KENTUCKY,21,2017,0001-03-01,Thunderstorm Wind,C,133,LETCHER,JKL,01-MAR-17 10:01:00,EST-5,01-MAR-17 10:01:00,0,0,0,0,,,Public,60.00,EG,,,,,,,,,,1,W,JEREMIAH,1,W,JEREMIAH,37.17,-82.93,37.17,-82.93,"The first severe weather outbreak of 2017 struck eastern Kentucky during the early morning hours of March 1st. A line of severe thunderstorms raced across the area between roughly 730 am and 1045 am on Wednesday, March 1st, 2017. A number of these storms packed very strong winds that downed trees and power lines and damaged or destroyed numerous buildings and other structures across the area.",Metal roofing material was peeled up on a garage along KY Hwy 7 in Jeremiah.,CSV
201703,1,1001,201703,1,1001,112769,673640,KENTUCKY,21,2017,0001-03-01,Thunderstorm Wind,C,195,PIKE,JKL,01-MAR-17 10:01:00,EST-5,01-MAR-17 10:01:00,0,0,0,0,,,Public,60.00,EG,,,,,,,,,,0,N,KIMPER,0,N,KIMPER,37.5,-82.35,37.5,-82.35,"The first severe weather outbreak of 2017 struck eastern Kentucky during the early morning hours of March 1st. A line of severe thunderstorms raced across the area between roughly 730 am and 1045 am on Wednesday, March 1st, 2017. A number of these storms packed very strong winds that downed trees and power lines and damaged or destroyed numerous buildings and other structures across the area.",A portion of a mobile homes bedroom was ripped out by thunderstorm wind gusts. A 2X4 was embedded in a structure.,CSV
201702,25,55,201702,25,55,112634,672374,KENTUCKY,21,2017,0001-02-01,Thunderstorm Wind,C,89,GREENUP,RLX,25-FEB-17 00:55:00,EST-5,25-FEB-17 00:55:00,0,0,0,0,1.50K,0.00K,911 Call Center,50.00,EG,,,,,,,,,,0,N,FLATWOODS,0,N,FLATWOODS,38.52,-82.72,38.52,-82.72,"Following a day of record breaking high temperatures on February 24, a very strong cold front crossed the middle Ohio River Valley shortly after midnight on the 25th with a line of showers and thunderstorms. One stronger segment within the overall line produced wind damage in Greenup County, Kentucky.",Tree down on power lines.,CSV
201702,25,55,201702,25,55,112634,672375,KENTUCKY,21,2017,0001-02-01,Thunderstorm Wind,C,89,GREENUP,RLX,25-FEB-17 00:55:00,EST-5,25-FEB-17 00:55:00,0,0,0,0,0.50K,0.00K,911 Call Center,50.00,EG,,,,,,,,,,0,N,FLATWOODS,0,N,FLATWOODS,38.52,-82.72,38.52,-82.72,"Following a day of record breaking high temperatures on February 24, a very strong cold front crossed the middle Ohio River Valley shortly after midnight on the 25th with a line of showers and thunderstorms. One stronger segment within the overall line produced wind damage in Greenup County, Kentucky.",Several large branches down in Flatwoods.,CSV
201701,10,2015,201701,10,2015,111565,665616,KENTUCKY,21,2017,0001-01-01,Strong Wind,Z,118,LETCHER,JKL,10-JAN-17 20:15:00,EST-5,10-JAN-17 20:15:00,0,0,0,0,2.50K,0.00K,Broadcast Media,43.00,EG,,,,,,,,,,,,,,,,,,,,Strong winds developed ahead of a frontal boundary and strong area of low pressure. Wind gusts of up to 40 to 50 mph were experienced in the Bluegrass region and higher terrain of far eastern Kentucky. Isolated damage occurred in Letcher County near Mayking as a strong gust flipped a carport.,A local media outlet reported a carport was flipped over by a strong wind gust near Mayking.,CSV
201704,5,2030,201704,5,2030,113409,678627,KENTUCKY,21,2017,0001-04-01,Thunderstorm Wind,C,63,ELLIOTT,JKL,05-APR-17 20:30:00,EST-5,05-APR-17 20:30:00,0,0,0,0,,,Department of Highways,50.00,EG,,,,,,,,,,0,NNE,STARK,0,NNE,STARK,38.1717,-83.1288,38.1717,-83.1288,"A line of thunderstorms moved into the Bluegrass region of eastern Kentucky this evening, producing damaging wind gusts generally between Interstate 64 and Mountain Parkway. Several trees and power lines were reported down as wind gusts of 60 to 70 mph occurred. One storm also produced a funnel cloud near Grassy Lick in Montgomery County.",The Department of Highways reported a tree down on Kentucky Highway 649 near Stark.,CSV
